全球団本塁打ランキング,,,,,,,,,,,,,,,,,,,,
順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
1,山田 哲人,ヤクルト,0.329,143,646,557,183,38,100,34,81,5,111,0,11,0.61,0.416,1.027,9.56,9.19
2,中村 剛也,西武,0.278,139,599,521,145,37,124,1,68,7,172,0,12,0.559,0.367,0.926,7.13,7.03
3,松田 宣浩,ソフトバンク,0.287,143,603,533,153,35,94,8,60,2,135,0,17,0.533,0.357,0.889,6.14,6.23
4,柳田 悠岐,ソフトバンク,0.363,138,605,502,182,34,99,32,88,14,101,0,9,0.631,0.469,1.101,11.39,10.81
4,レアード,日本ハム,0.231,143,554,498,115,34,97,1,43,9,129,0,18,0.488,0.301,0.789,4.67,4.84
6,李 大浩,ソフトバンク,0.282,141,584,510,144,31,98,0,62,9,109,0,17,0.524,0.368,0.892,6.53,6.46
7,中田 翔,日本ハム,0.263,143,611,539,142,30,102,1,64,1,120,0,11,0.479,0.339,0.817,5.7,5.77
8,メヒア,西武,0.235,135,525,473,111,27,89,0,45,5,153,0,14,0.471,0.307,0.778,4.69,4.74
9,畠山 和洋,ヤクルト,0.268,137,584,512,137,26,105,0,62,2,92,0,10,0.471,0.344,0.815,5.76,5.85
10,ロペス,DeNA,0.291,140,565,516,150,25,73,1,44,2,82,0,14,0.496,0.347,0.843,5.96,5.83
11,筒香 嘉智,DeNA,0.317,138,568,496,157,24,93,0,68,2,98,0,5,0.522,0.4,0.922,8,7.74
12,福留 孝介,阪神,0.281,140,569,495,139,20,76,1,65,1,75,1,15,0.463,0.361,0.824,5.76,5.78
13,丸 佳浩,広島,0.249,143,633,530,132,19,63,15,94,1,143,4,4,0.413,0.361,0.774,5.56,5.59
13,エルドレッド,広島,0.227,79,300,264,60,19,54,1,31,1,91,0,3,0.466,0.307,0.773,4.85,5.18
15,デスパイネ,ロッテ,0.258,103,409,353,91,18,62,0,49,4,89,0,9,0.462,0.352,0.814,5.6,5.63
16,ゴメス,阪神,0.271,143,601,520,141,17,72,0,72,6,134,0,15,0.423,0.364,0.787,5.42,5.37
16,糸井 嘉男,オリックス,0.262,132,565,484,127,17,68,11,72,8,78,0,10,0.413,0.366,0.78,5.57,5.51
16,森 友哉,西武,0.287,138,531,474,136,17,68,0,44,9,143,0,5,0.468,0.357,0.825,6.01,5.86
16,ペーニャ,楽天,0.268,125,492,406,109,17,40,1,70,16,111,0,5,0.448,0.396,0.845,6.68,6.59
20,クルーズ,ロッテ,0.255,133,532,501,128,16,73,0,24,2,66,0,7,0.401,0.289,0.691,4.05,4.11
